id,google_place_id,yelp_business_id,name,address,city,state,zip_code,phone,website,latitude,longitude,clinic_type,categories,google_rating,google_review_count,google_price_level,yelp_rating,yelp_review_count,yelp_price_level,hours_json,is_open_now,is_active,last_updated,created_at
2,,J_Bj4er_CiQPZ3hd4b-CHQ,MinuteClinic,137 S State St,Chicago,IL,60603,+13126091215,https://www.yelp.com/biz/minuteclinic-chicago-12?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8797056814603,-87.6272587116566,urgent_care,"['Walk-in Clinics', 'Urgent Care']",,,,3.0,47.0,,,,True,2025-12-28 08:48:23.287334,2025-12-25 02:14:08.027444
3,,YLh7-5iri6hiTr5awunDNg,Michigan Avenue Primary Care,180 N Michigan Ave,Chicago,IL,60601,+13129943000,https://www.yelp.com/biz/michigan-avenue-primary-care-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8855114,-87.6248706,primary_care,"['Family Practice', 'Internal Medicine']",,,,2.9,95.0,,,,True,2025-12-28 08:48:24.942920,2025-12-25 02:14:09.431827
4,,xnsm8fBkLebZexWWfWdgtw,Northwestern Memorial Physicians Group,20 S Clark St,Chicago,IL,60603,+13129263627,https://www.yelp.com/biz/northwestern-memorial-physicians-group-chicago-8?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.88129,-87.63122,primary_care,['Medical Centers'],,,,3.7,48.0,,,,True,2025-12-28 08:48:26.607652,2025-12-25 02:14:10.831190
5,,gF68M-OaTDfiLJNbchp-kA,Northwestern Medicine Immediate Care - Streeterville,635 N Fairbanks Ct,Chicago,IL,60611,+13126942273,https://www.yelp.com/biz/northwestern-medicine-immediate-care-streeterville-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8937955372389,-87.619992043911,urgent_care,['Urgent Care'],,,,2.8,19.0,,,,True,2025-12-28 08:48:28.510199,2025-12-25 02:14:12.200403
7,,_3sMdNrgyJNoPl5-aCeKOw,Shirley Ryan AbilityLab,355 East Erie St,Chicago,IL,60611,+13122381000,https://www.yelp.com/biz/shirley-ryan-abilitylab-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8939294376291,-87.6184021265463,primary_care,['Medical Centers'],,,,2.8,143.0,,,,True,2025-12-28 08:48:30.188133,2025-12-25 02:14:15.149696
6,,ec_GD1sUuqA4teHBic7vEA,Passport Health - Downtown Chicago Travel Clinic,111 W Washington St,Chicago,IL,60602,+13126416228,https://www.yelp.com/biz/passport-health-downtown-chicago-travel-clinic-chicago-2?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8830278,-87.624905,primary_care,['Medical Centers'],,,,4.2,79.0,,,,True,2025-12-28 08:48:31.879483,2025-12-25 02:14:13.786869
9,,gDR9wf6ER_xl-pGrcsD9VA,Northwestern Medicine Immediate Care River North,635 N Dearborn St,Chicago,IL,60611,+13126942273,https://www.yelp.com/biz/northwestern-medicine-immediate-care-river-north-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.893524,-87.629361,urgent_care,['Urgent Care'],,,,3.0,104.0,,,,True,2025-12-28 08:48:33.581669,2025-12-25 02:14:17.960658
8,,l5zuhgt5hNUuvsQSqQUuYA,Chicago Express Doctors,520 N Kingsbury St,Chicago,IL,60611,+13129294492,https://www.yelp.com/biz/chicago-express-doctors-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8909068,-87.6401544,urgent_care,"['Urgent Care', 'Home Health Care', 'IV Hydration']",,,,4.2,72.0,,,,True,2025-12-28 08:48:35.249361,2025-12-25 02:14:16.550518
12,,Js2jFMf7LBYLMhuh1RQMRA,Midwest Express Clinic,779 W Adams St,Chicago,IL,60661,+13123828308,https://www.yelp.com/biz/midwest-express-clinic-chicago-3?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.879086,-87.64704,urgent_care,['Urgent Care'],,,,1.7,38.0,,,,True,2025-12-28 08:48:37.210061,2025-12-25 02:14:22.092375
10,,o_OOT4mq5BIoiYk5XThsNA,Physicians Immediate Care,825 S State St,Chicago,IL,60605,+13125669510,https://www.yelp.com/biz/physicians-immediate-care-chicago-13?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8710796,-87.62726,urgent_care,"['Urgent Care', 'Walk-in Clinics', 'Laboratory Testing']",,,,2.9,117.0,,,,True,2025-12-28 08:48:38.887923,2025-12-25 02:14:19.350164
11,,brZ5Mh0CLVAfHAXm_CYH6A,Northwestern Medicine Lavin Family Pavilion,259 E Erie St,Chicago,IL,60611,+13129266000,https://www.yelp.com/biz/northwestern-medicine-lavin-family-pavilion-chicago-3?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.893880080994,-87.62066103601,primary_care,['Medical Centers'],,,,3.2,6.0,,,,True,2025-12-28 08:48:40.575120,2025-12-25 02:14:20.708807
18,,85jEyual8ILAQhk6qwdeUQ,Midwest Express Clinic,219 W Chicago Ave,Chicago,IL,60654,+13128781945,https://www.yelp.com/biz/midwest-express-clinic-chicago-4?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.896344,-87.635071,urgent_care,['Urgent Care'],,,,2.5,50.0,,,,True,2025-12-28 08:48:42.296059,2025-12-25 02:14:30.554791
17,,Huc1_R1KNhP02Jw9Jdscew,Lakeside Clinic,211 E Ontario,Chicago,IL,60611,,https://www.yelp.com/biz/lakeside-clinic-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8932343,-87.6219788,primary_care,['Family Practice'],,,,5.0,1.0,,,,True,2025-12-28 08:48:43.988954,2025-12-25 02:14:29.147422
14,,Ky-TsBrxySAcfb5pTTQ1Lg,One Medical Primary Care Clinic - River North,415 N Lasalle Dr,Chicago,IL,60654,+18338235560,https://www.yelp.com/biz/one-medical-river-north-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8899037201834,-87.6321331,primary_care,"['Internal Medicine', 'Sports Medicine', 'Family Practice']",,,,3.9,8.0,,,,True,2025-12-28 08:48:45.630929,2025-12-25 02:14:24.868015
16,,ssusDnlqPYBZfTk13w9cXA,Minute Clinic,137 S Clark St,Chicago,IL,60603,,https://www.yelp.com/biz/minute-clinic-chicago-4?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.8795288176677,-87.6306090392514,primary_care,['Medical Centers'],,,,4.0,1.0,,,,True,2025-12-28 08:48:47.449124,2025-12-25 02:14:27.754954
13,,lnSRABXKLZPnsVPim6rKKg,Raby Institute for Integrative Medicine,500 N Michigan Ave,Chicago,IL,60611,+13122761212,https://www.yelp.com/biz/raby-institute-for-integrative-medicine-chicago?adjust_creative=bW9tF4xYi6np6FiGvjpZYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=bW9tF4xYi6np6FiGvjpZYA,41.891166,-87.624702,primary_care,['Internal Medicine'],,,,3.6,199.0,,,,True,2025-12-28 08:48:49.114123,2025-12-25 02:14:23.475090
